doc,mention_id,texte_maillon,tete_lexicale,nature,fonction
EN100017,c2,no significant past medical history,history,SNind,autre
EN100017,c1,A 14 - year old boy with no significant past medical history,boy,SNind,Suj
EN100017,c4,southern Sierra Leone,Leone,Np,autre
EN100017,c3,a small district hospital in southern Sierra Leone,hospital,SNind,Obl
EN100017,c6,4 day,day,SNnum,autre
EN100017,c7,facial puffiness,puffiness,SN∅,autre
EN100017,c8,peripheral pitting oedema,oedema,SN∅,autre
EN100017,c9,abdominal pains,pains,SN∅,autre
EN100017,c11,urine,urine,SN∅,autre
EN100017,c10,reduced urine output,output,SN∅,autre
EN100017,c5,"a 4 day history of facial puffiness , peripheral pitting oedema , abdominal pains , and reduced urine output",history,SNind,Obl
EN100017,c12,examination,examination,SN∅,Obl
EN100017,c1,he,he,Pro,Suj
EN100017,c13,BP150,BP150,SN∅,autre
EN100017,c15,heart,heart,SN∅,autre
EN100017,c14,heart rate,rate,SN∅,autre
EN100017,c16,70,70,Autre,autre
EN100017,c1,He,He,Pro,Suj
EN100017,c17,significant periorbital and facial oedema,oedema,SN∅,OD
EN100017,c19,the feet,feet,SNdef,Obl
EN100017,c20,the knees,knees,SNdef,Obl
EN100017,c18,pitting oedema from the feet to the knees,pitting,Autre,autre
EN100017,c21,a distended abdomen,abdomen,SNind,autre
EN100017,c22,ascites,ascites,SN∅,autre
EN100017,c23,tender hepatomegaly,hepatomegaly,SN∅,autre
EN100017,c24,Lab results,results,SN∅,Suj
EN100017,c25,haemoglobin,haemoglobin,SN∅,OD
EN100017,c26,10.9 g / dl,g,SNnum,OD
EN100017,c27,dl,dl,SN∅,autre
EN100017,c29,packed cell,packed,Autre,autre
EN100017,c28,packed cell volume,volume,SN∅,autre
EN100017,c30,35 %,%,Autre,autre
EN100017,c32,malaria,malaria,SN∅,autre
EN100017,c31,positive malaria parasites,parasites,SN∅,autre
EN100017,c33,Urea,Urea,SN∅,Suj
EN100017,c33,14 mg / dl,mg,SNnum,autre
EN100017,c27,dl,dl,SN∅,autre
EN100017,c34,creatinine,creatinine,SN∅,autre
EN100017,c35,1.0 mg / dl,mg,SNnum,autre
EN100017,c27,dl,dl,SN∅,autre
EN100017,c36,sodium,sodium,SN∅,autre
EN100017,c36,137 mmol / L,mmol,SNnum,autre
EN100017,c37,L,L,SN∅,autre
EN100017,c38,potassium,potassium,SN∅,autre
EN100017,c38,3.7 mmol / L,mmol,SNnum,autre
EN100017,c39,L,L,SN∅,autre
EN100017,c40,Urinalysis,Urinalysis,SN∅,Suj
EN100017,c11,urine,urine,SN∅,autre
