doc,mention_id,texte_maillon,tete_lexicale,nature,fonction
FR100003,c1,Nous,Nous,Pro,Suj
FR100003,c3,un ans,un,SNind,autre
FR100003,c2,l' un ans fonction,l',SNdef,autre
FR100003,c4,antécédents pathologiques,antécédents,SN∅,Obl
FR100003,c6,deux mois,mois,SNnum,Obl
FR100003,c7,les itératifs,les,SNdef,autre
FR100003,c5,un deux mois les itératifs,un,SNind,autre
FR100003,c3,qui,qui,Pro,Suj
FR100003,c8,les urgences,urgences,SNdef,Obl
FR100003,c10,la palpation,palpation,SNdef,Obl
FR100003,c11,un fébrile,un,SNind,autre
FR100003,c13,l' général,l',SNdef,autre
FR100003,c12,une l' général,une,SNind,autre
FR100003,c9,une la palpation un fébrile une l' général,une,SNind,autre
FR100003,c15,l' admission,admission,SNdef,autre
FR100003,c3,un asthénique,un,SNind,autre
FR100003,c16,un discret,un,SNind,autre
FR100003,c18,le cou,cou,SNdef,autre
FR100003,c17,la le cou,la,SNdef,autre
FR100003,c19,une min,une,SNind,autre
FR100003,c20,une mmHg,une,SNind,autre
FR100003,c14,Lexamen l' admission un asthénique un discret la le cou une min une mmHg,Lexamen,Np,Suj
FR100003,c21,L' respiratoire,L',SNdef,autre
FR100003,c22,fréquence mn,fréquence,SN∅,autre
FR100003,c23,une %,une,SNind,autre
FR100003,c24,l' ambiant,l',SNdef,autre
FR100003,c26,39 °,°,Autre,autre
FR100003,c25,une 39 °,une,SNind,autre
FR100003,c27,Le initiale,Le,SNdef,autre
FR100003,c28,une 85OOO,une,SNind,autre
FR100003,c29,une mg/l,une,SNind,autre
FR100003,c31,12 mmol/l,mmol/l,SNnum,autre
FR100003,c30,une 12 mmol/l,une,SNind,autre
FR100003,c32,La cervicothoracique,La,SNdef,autre
FR100003,c35,les gauches,les,SNdef,autre
FR100003,c34,cellulite les gauches,cellulite,SN∅,autre
FR100003,c36,l' retropharyngolaryngé,l',SNdef,autre
FR100003,c37,le médiastin,médiastin,SNdef,Obl
FR100003,c39,un droit,un,SNind,autre
FR100003,c38,une un droit,une,SNind,autre
FR100003,c33,un cellulite les gauches l' retropharyngolaryngé le médiastin une un droit,un,SNind,autre
FR100003,c40,Le dentaire,Le,SNdef,autre
FR100003,c42,la 45,45,Autre,autre
FR100003,c41,un la 45,un,SNind,autre
FR100003,c42,3éme molaire,molaire,SN∅,autre
FR100003,c44,la dentaire,la,SNdef,autre
FR100003,c43,granulome la dentaire,granulome,SN∅,autre
FR100003,c46,anesthésie locale,anesthésie,SN∅,autre
FR100003,c48,un physiologique,un,SNind,autre
FR100003,c47,injection un physiologique,injection,SN∅,autre
FR100003,c48,10 ml,ml,SNnum,autre
FR100003,c33,la collection,collection,SNdef,autre
FR100003,c45,La anesthésie locale injection un physiologique 10 ml la collection,La,SNdef,autre
FR100003,c49,le pus,pus,SNdef,Obl
FR100003,c50,L' cytobactériologique,L',SNdef,autre
FR100003,c51,les nombreux,les,SNdef,autre
FR100003,c52,les polymorphes,les,SNdef,autre
FR100003,c53,L' GRAM,L',SNdef,autre
FR100003,c54,Flore mixte,Flore,SN∅,autre
FR100003,c55,les anaérobies,anaérobies,SNdef,OD
FR100003,c56,Une probabiliste,Une,SNind,autre
