doc,xml_id,entité,type_temporalite,coref,mention_id,longueur_chaine,chaine_complete
FR100003,6366,abordé,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,5691,consulte,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,6441,drainer,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,6411,drainé,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,6306,instaurée,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,6486,justifie,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,5916,montre,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,6186,montre,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,6935,normal,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,6561,nécessaire,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,6066,objective,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,6576,prévenir,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,6141,ramené,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,5616,rapportons,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,6621,retrouve,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,6666,réajustée,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,5991,révèle,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,5766,trouve,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,6902,Nous,ACTOR (H-PROFESSIONAL),Détecté,c1,1,Nous
FR100003,Non applicable,la palpation,Non annoté,Détecté,c10,1,palpation
FR100003,5721,contexte,EVENT,Détecté,c11,1,contexte
FR100003,6712,fébrile,CLINENTITY,Détecté,c11,1,contexte
FR100003,5736,altération,EVENT,Détecté,c12,1,altération
FR100003,5841,état,EVENT,Détecté,c12,1,altération
FR100003,5841,état,EVENT,Détecté,c13,1,état
FR100003,5751,Lexamen,EVENT,Détecté,c14,1,Lexamen
FR100003,Non applicable,l' admission,Non annoté,Détecté,c15,1,admission
FR100003,5796/6728,érythème,EVENT/CLINENTITY,Détecté,c16,1,érythème
FR100003,6848,la face latéral du cou,BODYPART,Détecté,c17,1,face
FR100003,6848,la face latéral du cou,BODYPART,Détecté,c18,1,cou
FR100003,6923,87 batt/min,RML,Détecté,c19,1,fréquence
FR100003,5811,fréquence,EVENT,Détecté,c19,1,fréquence
FR100003,5856,fréquence,EVENT,Détecté,c19,1,fréquence
FR100003,5631,observation,EVENT,Détecté,c2,1,observation
FR100003,6909,un homme de 55 ans enseignant de fonction,ACTOR (PATIENT),Détecté,c2,1,observation
FR100003,6929,110/70 mmHg,RML,Détecté,c20,1,PA
FR100003,5826,PA,EVENT,Détecté,c20,1,PA
FR100003,5841,état,EVENT,Détecté,c21,1,état
FR100003,6941,22 cycles/mn,RML,Détecté,c22,1,fréquence
FR100003,5811,fréquence,EVENT,Détecté,c22,1,fréquence
FR100003,5856,fréquence,EVENT,Détecté,c22,1,fréquence
FR100003,6947,96%,RML,Détecté,c23,1,SaO2
FR100003,5871,SaO2,EVENT,Détecté,c23,1,SaO2
FR100003,Non applicable,l' air ambiant,Non annoté,Détecté,c24,1,air
FR100003,6953,39°,RML,Détecté,c25,1,fièvre
FR100003,5886/6736,fièvre,EVENT/CLINENTITY,Détecté,c25,1,fièvre
FR100003,6953,39°,RML,Détecté,c26,1,°
FR100003,5901,bilan,EVENT,Détecté,c27,1,bilan
FR100003,6959,85OOO,RML,Détecté,c28,1,hyperleucocytose
FR100003,5931/6744,hyperleucocytose,EVENT/CLINENTITY,Détecté,c28,1,hyperleucocytose
FR100003,6965,350 mg/l,RML,Détecté,c29,1,CRP
FR100003,5946,CRP,EVENT,Détecté,c29,1,CRP
FR100003,5781/6720,asthénique,EVENT/CLINENTITY,Détecté,c3,3,"homme, qui, patient"
FR100003,Non applicable,qui,Non annoté,Détecté,c3,3,"homme, qui, patient"
FR100003,6909,un homme de 55 ans enseignant de fonction,ACTOR (PATIENT),Détecté,c3,3,"homme, qui, patient"
FR100003,6916,un patient,ACTOR (PATIENT),Détecté,c3,3,"homme, qui, patient"
FR100003,6971,12 mmol/l.,RML,Détecté,c30,1,glycémie
FR100003,5961,glycémie,EVENT,Détecté,c30,1,glycémie
FR100003,6971,12 mmol/l.,RML,Détecté,c31,1,mmol/l
FR100003,5976,TDM,EVENT,Détecté,c32,1,TDM
FR100003,6471/6816,cellulite,EVENT/CLINENTITY,Détecté,c33,3,"phlegmon, collection, phlegmon"
FR100003,6760,cellulite,CLINENTITY,Détecté,c33,3,"phlegmon, collection, phlegmon"
FR100003,6824,cellulite,CLINENTITY,Détecté,c33,3,"phlegmon, collection, phlegmon"
FR100003,6860,l''espace retropharyngolaryngé,BODYPART,Détecté,c33,3,"phlegmon, collection, phlegmon"
FR100003,Non applicable,la collection,Non annoté,Détecté,c33,3,"phlegmon, collection, phlegmon"
FR100003,6866,médiastin,BODYPART,Détecté,c33,3,"phlegmon, collection, phlegmon"
FR100003,6021/6768,médiastinite,EVENT/CLINENTITY,Détecté,c33,3,"phlegmon, collection, phlegmon"
FR100003,6006/6752,phlegmon,EVENT/CLINENTITY,Détecté,c33,3,"phlegmon, collection, phlegmon"
FR100003,6396/6800,phlegmon,EVENT/CLINENTITY,Détecté,c33,3,"phlegmon, collection, phlegmon"
FR100003,6036,épanchement,EVENT,Détecté,c33,3,"phlegmon, collection, phlegmon"
FR100003,6776,épanchement pleural,CLINENTITY,Détecté,c33,3,"phlegmon, collection, phlegmon"
FR100003,6471/6816,cellulite,EVENT/CLINENTITY,Détecté,c34,3,"cellulite, cellulite, cellulite"
