doc,entite_source,source_type,relation,entite_cible,cible_type,texte_contexte
FR100003,observation,EVENT,CONTAINS,consulte,EVENT,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,observation,EVENT,CONTAINS,Lexamen,EVENT,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,observation,EVENT,OVERLAP,antécédents,EVENT,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,observation,EVENT,BEFORE,rapportons,EVENT,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,antécédents,EVENT,CONTAINS,diabète,EVENT,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,antécédents,EVENT,CONTAINS,soins,EVENT,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,diabète,EVENT,OVERLAP,deux mois,TIMEX3,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,masse,EVENT,CONTAINS,consulte,EVENT,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,masse,EVENT,OVERLAP,contexte,EVENT,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,masse,EVENT,OVERLAP,altération,EVENT,"Nous rapportons l'observation d'un homme de 55 ans enseignant de fonction ayant comme antécédents pathologiques un diabète non-insulinodépendant découvert depuis deux mois et des soins dentaires itératifs, qui consulte aux urgences pour une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l'état général."
FR100003,Lexamen,EVENT,OVERLAP,PA,EVENT,"Lexamen clinique à l'admission trouve un patient asthénique, un érythème discret sur la face latéral du cou, une fréquence cardiaque à 87 batt/min et une PA à 110/70 mmHg."
FR100003,Lexamen,EVENT,OVERLAP,fréquence,EVENT,"Lexamen clinique à l'admission trouve un patient asthénique, un érythème discret sur la face latéral du cou, une fréquence cardiaque à 87 batt/min et une PA à 110/70 mmHg."
FR100003,asthénique,EVENT,CONTAINS,Lexamen,EVENT,"Lexamen clinique à l'admission trouve un patient asthénique, un érythème discret sur la face latéral du cou, une fréquence cardiaque à 87 batt/min et une PA à 110/70 mmHg."
FR100003,érythème,EVENT,CONTAINS,Lexamen,EVENT,"Lexamen clinique à l'admission trouve un patient asthénique, un érythème discret sur la face latéral du cou, une fréquence cardiaque à 87 batt/min et une PA à 110/70 mmHg."
FR100003,état,EVENT,CONTAINS,Lexamen,EVENT,"L'état respiratoire était normal: fréquence respiratoire 22 cycles/mn, une SaO2 à 96% à l'air ambiant, une fièvre à 39°."
FR100003,état,EVENT,OVERLAP,fréquence,EVENT,"L'état respiratoire était normal: fréquence respiratoire 22 cycles/mn, une SaO2 à 96% à l'air ambiant, une fièvre à 39°."
FR100003,état,EVENT,OVERLAP,SaO2,EVENT,"L'état respiratoire était normal: fréquence respiratoire 22 cycles/mn, une SaO2 à 96% à l'air ambiant, une fièvre à 39°."
FR100003,état,EVENT,OVERLAP,bilan,EVENT,"L'état respiratoire était normal: fréquence respiratoire 22 cycles/mn, une SaO2 à 96% à l'air ambiant, une fièvre à 39°."
