doc,mention_id,texte_maillon,tete_lexicale,upos_tete,nature,fonction
FR100003,c1,Nous,Nous,PRON,Pro,Suj
FR100003,c3,un homme de 55 ans,homme,NOUN,SNind,autre
FR100003,c2,l' observation d' un homme de 55 ans enseignant de fonction,observation,NOUN,SNdef,OD
FR100003,c4,antécédents pathologiques,antécédents,NOUN,SN∅,Obl
FR100003,c6,deux mois,mois,NOUN,SNnum,Obl
FR100003,c7,les soins dentaires itératifs,soins,NOUN,SNdef,autre
FR100003,c5,un diabète non-insulinodépendant découvert depuis deux mois et de les soins dentaires itératifs,diabète,NOUN,SNind,OD
FR100003,c3,qui,qui,PRON,Pro,Suj
FR100003,c8,les urgences,urgences,NOUN,SNdef,Obl
FR100003,c10,la palpation,palpation,NOUN,SNdef,Obl
FR100003,c11,un contexte fébrile,contexte,NOUN,SNind,Obl
FR100003,c13,l' état général,état,NOUN,SNdef,autre
FR100003,c12,une altération de l' état général,altération,NOUN,SNind,autre
FR100003,c9,une masse latéro-cervicale gauche ferme à la palpation évoluant dans un contexte fébrile et une altération de l' état général,masse,NOUN,SNind,Obl
FR100003,c15,l' admission,admission,NOUN,SNdef,autre
FR100003,c3,un patient asthénique,patient,NOUN,SNind,OD
FR100003,c16,un érythème discret,érythème,NOUN,SNind,autre
FR100003,c18,le cou,cou,NOUN,SNdef,autre
FR100003,c17,la face latéral de le cou,face,NOUN,SNdef,autre
FR100003,c19,une fréquence cardiaque à 87 batt / min,fréquence,NOUN,SNind,autre
FR100003,c20,une PA à 110 / 70 mmHg,PA,NOUN,SNind,autre
FR100003,c14,"Lexamen clinique à l' admission trouve un patient asthénique , un érythème discret sur la face latéral de le cou , une fréquence cardiaque à 87 batt / min et une PA à 110 / 70 mmHg",trouve,VERB,Np,autre
FR100003,c21,L' état respiratoire,état,NOUN,SNdef,Suj
FR100003,c22,fréquence respiratoire 22 cycles / mn,fréquence,NOUN,SN∅,autre
FR100003,c23,une SaO2 à 96 %,SaO2,NOUN,SNind,autre
FR100003,c24,l' air ambiant,air,NOUN,SNdef,autre
FR100003,c26,39 °,°,SYM,Autre,autre
FR100003,c25,une fièvre à 39 °,fièvre,NOUN,SNind,autre
FR100003,c27,Le bilan biologique initiale,bilan,NOUN,SNdef,Suj
FR100003,c28,une hyperleucocytose à 85OOO,hyperleucocytose,NOUN,SNind,OD
FR100003,c29,une CRP à 350 mg/l,CRP,NOUN,SNind,autre
FR100003,c31,12 mmol/l,mmol/l,NOUN,SNnum,autre
FR100003,c30,une glycémie à 12 mmol/l,glycémie,NOUN,SNind,autre
FR100003,c32,La TDM cervicothoracique,TDM,NOUN,SNdef,Suj
FR100003,c35,les espaces cervicaux antérolatéraux gauches,espaces,NOUN,SNdef,Obl
FR100003,c34,cellulite profonde abcédée de les espaces cervicaux antérolatéraux gauches,cellulite,NOUN,SN∅,autre
FR100003,c36,l' ' espace retropharyngolaryngé,espace,NOUN,SNdef,Obl
FR100003,c37,le médiastin,médiastin,NOUN,SNdef,Obl
FR100003,c39,un épanchement pleural droit,épanchement,NOUN,SNind,Obl
FR100003,c38,une médiastinite associé à un épanchement pleural droit,médiastinite,NOUN,SNind,autre
FR100003,c33,un phlegmon avec cellulite profonde abcédée de les espaces cervicaux antérolatéraux gauches fusant le long de l' ' espace retropharyngolaryngé étendue à le médiastin compliqué d' une médiastinite associé à un épanchement pleural droit,phlegmon,NOUN,SNind,OD
FR100003,c40,Le panoramique dentaire,panoramique,NOUN,SNdef,Suj
FR100003,c42,la 45,45,NUM,Autre,autre
FR100003,c41,un délabrement de la 45,délabrement,NOUN,SNind,OD
FR100003,c42,3éme molaire,molaire,NOUN,SN∅,autre
FR100003,c44,la racine dentaire,racine,NOUN,SNdef,autre
FR100003,c43,granulome de la racine dentaire,granulome,NOUN,SN∅,autre
FR100003,c46,anesthésie locale,anesthésie,NOUN,SN∅,autre
FR100003,c48,un petit volume de sérum physiologique,volume,NOUN,SNind,autre
FR100003,c47,injection d' un petit volume de sérum physiologique,injection,NOUN,SN∅,autre
FR100003,c48,10 ml,ml,NOUN,SNnum,autre
FR100003,c33,la collection,collection,NOUN,SNdef,autre
FR100003,c45,La ponction sous-cutanée sous anesthésie locale après injection d' un petit volume de sérum physiologique ( 10 ml ) de la collection,ponction,NOUN,SNdef,Suj
FR100003,c49,le pus,pus,NOUN,SNdef,Obl
FR100003,c50,L' examen cytobactériologique,examen,NOUN,SNdef,Suj
FR100003,c51,les leucocytes nombreux,leucocytes,NOUN,SNdef,OD
FR100003,c52,les bactéries abondantes et polymorphes,bactéries,NOUN,SNdef,Obl
FR100003,c53,L' examen direct coloré GRAM,examen,NOUN,SNdef,autre
FR100003,c54,Flore bactérienne très abondantes et mixte,Flore,NOUN,SN∅,autre
FR100003,c55,les anaérobies,anaérobies,NOUN,SNdef,OD
FR100003,c56,"Une antibiothérapie initiale , adjuvante , probabiliste",antibiothérapie,NOUN,SNind,Suj
FR100003,c57,voie intraveineuse,voie,NOUN,SN∅,Obl
FR100003,c58,le bloc,bloc,NOUN,SNdef,Obl
FR100003,c59,amoxicilline+,amoxicilline+,ADJ,Autre,autre
FR100003,c60,acide clavulanique,acide,NOUN,SN∅,autre
FR100003,c62,5-nitro-imidazolés,5-nitro-imidazolés,NOUN,SN∅,Obl
FR100003,c63,flagyl 500 mg,flagyl,NOUN,SN∅,autre
FR100003,c61,augmentin 2g × 3/j ) associé à 5-nitro-imidazolés ( flagyl 500 mg × 3/j,augmentin,NOUN,SN∅,autre
FR100003,c64,anesthésie générale,anesthésie,NOUN,SN∅,autre
FR100003,c58,le bloc opératoire sous anesthésie générale,bloc,NOUN,SNdef,Obl
FR100003,c65,le foyer infectieux,foyer,NOUN,SNdef,Suj
FR100003,c66,une large incision cervicale,incision,NOUN,SNind,Obl
FR100003,c33,le phlegmon abcédé,phlegmon,NOUN,SNdef,Suj
FR100003,c68,la cervicotomie,cervicotomie,NOUN,SNdef,Obl
FR100003,c67,les lames descendues à partir de la cervicotomie,lames,NOUN,SNdef,Obl
FR100003,c69,Une thoracotomie,thoracotomie,NOUN,SNind,Suj
FR100003,c37,le médiastin,médiastin,NOUN,SNdef,autre
FR100003,c71,le niveau de le médiastin,niveau,NOUN,SNdef,Obl
FR100003,c70,les collections profondes à le niveau de le médiastin,collections,NOUN,SNdef,OD
FR100003,c72,le stade collecté,stade,NOUN,SNdef,autre
FR100003,c34,Une cellulite à le stade collecté,cellulite,NOUN,SNind,Suj
FR100003,c73,une prise en charge chirurgicale,prise,NOUN,SNind,Obl
FR100003,c34,la cellulite,cellulite,NOUN,SNdef,autre
FR100003,c74,le drainage de la cellulite,drainage,NOUN,SNdef,autre
FR100003,c76,la dent causale,dent,NOUN,SNdef,autre
FR100003,c75,l' extraction de la dent causale,extraction,NOUN,SNdef,Suj
FR100003,c78,la cavité buccale,cavité,NOUN,SNdef,autre
FR100003,c77,Un traitement complémentaire de la cavité buccale,traitement,NOUN,SNind,Suj
FR100003,c79,tout autre épisode infectieux similaire,épisode,NOUN,SNind,OD
FR100003,c80,La culture,culture,NOUN,SNdef,Suj
FR100003,c81,un streptococcus anginosus multisensible,streptococcus,NOUN,SNind,OD
FR100003,c56,L' antibiothérapie initiale,antibiothérapie,NOUN,SNdef,Suj
FR100003,c83,l' hémoculture,hémoculture,NOUN,SNdef,autre
FR100003,c82,les résultats de l' hémoculture,résultats,NOUN,SNdef,Obl
FR100078,c1,M.J Patient Tunisien âgé de 42 ans,M.J,NOUN,SN∅,Suj
FR100078,c2,la MB,MB,PROPN,Np,autre
FR100078,c3,l' âge de 27 ans,âge,NOUN,SNdef,Obl
FR100078,c4,Le diagnostic,diagnostic,NOUN,SNdef,Suj
FR100078,c6,une aphtose buccale récidivante,aphtose,NOUN,SNind,autre
FR100078,c7,les aphtes génitaux,aphtes,NOUN,SNdef,autre
FR100078,c8,les pseudofolliculites nécrotiques,pseudofolliculites,NOUN,SNdef,autre
FR100078,c10,le membre inférieur gauche,membre,NOUN,SNdef,autre
FR100078,c9,une thrombophlébite de le membre inférieur gauche,thrombophlébite,NOUN,SNind,autre
FR100078,c11,un Pathergy test positif,Pathergy,PROPN,Np,autre
FR100078,c5,"l' association d' une aphtose buccale récidivante à de les aphtes génitaux , de les pseudofolliculites nécrotiques , une thrombophlébite de le membre inférieur gauche et un Pathergy test positif",association,NOUN,SNdef,Obl
FR100078,c1,Le patient,patient,NOUN,SNdef,Suj
FR100078,c12,le long cours,cours,NOUN,SNdef,Obl
FR100078,c13,colchicine,colchicine,NOUN,SN∅,Obl
FR100078,c14,aspirine,aspirine,NOUN,SN∅,autre
FR100078,c16,faible dose,dose,NOUN,SN∅,autre
FR100078,c15,prednisone à faible dose,prednisone,NOUN,SN∅,autre
FR100078,c17,10 mg/j,mg/j,NOUN,SNnum,autre
FR100078,c1,Il,Il,PRON,Pro,Suj
FR100078,c19,les deux jambes,jambes,NOUN,SNdef,autre
FR100078,c18,les ulcères de les deux jambes,ulcères,NOUN,SNdef,OD
FR100078,c21,plusieurs reprises,reprises,NOUN,SNind,Obl
FR100078,c20,l' hospitalisation à plusieurs reprises,hospitalisation,NOUN,SNdef,OD
FR100078,c22,chaque fois,fois,NOUN,SNind,Obl
FR100078,c18,l' ulcère,ulcère,NOUN,SNdef,autre
FR100078,c23,les récidives de l' ulcère,récidives,NOUN,SNdef,Suj
FR100078,c2,la maladie,maladie,NOUN,SNdef,autre
FR100078,c24,une poussée cutanéo-muqueuse de la maladie,poussée,NOUN,SNind,Obl
FR100078,c26,arrêt intempestif de traitement,arrêt,NOUN,SN∅,autre
FR100078,c25,notion d' arrêt intempestif de traitement,notion,NOUN,SN∅,Obl
FR100078,c27,traitement,traitement,NOUN,SN∅,autre
FR100078,c28,L' examen clinique,examen,NOUN,SNdef,Suj
FR100078,c20,ces hospitalisations,hospitalisations,NOUN,SNdem,autre
FR100078,c29,le moment de ces hospitalisations,moment,NOUN,SNdef,autre
FR100078,c31,thrombophlébites superficielles,thrombophlébites,NOUN,SN∅,autre
FR100078,c19,les jambes,jambes,NOUN,SNdef,autre
FR100078,c32,le niveau de les jambes,niveau,NOUN,SNdef,Obl
FR100078,c30,signes de thrombophlébites superficielles à le niveau de les jambes,signes,NOUN,SN∅,OD
FR100078,c33,les pouls tibiaux postérieurs et pédieux,pouls,NOUN,SNdef,Suj
FR100078,c35,les membres inférieurs,membres,NOUN,SNdef,autre
FR100078,c34,Le doppler veineux de les membres inférieurs,doppler,NOUN,SNdef,Suj
FR100078,c37,insuffisance veineuse,insuffisance,NOUN,SN∅,autre
FR100078,c38,thrombose profonde concomitante,thrombose,NOUN,SN∅,autre
FR100078,c36,de signes d' insuffisance veineuse ni de thrombose profonde concomitante,signes,NOUN,SNind,OD
FR100078,c39,Le doppler artériel,doppler,NOUN,SNdef,Suj
FR100078,c41,artériopathie sous-jacente,artériopathie,NOUN,SN∅,autre
FR100078,c40,de signes d' artériopathie sous-jacente,signes,NOUN,SNind,OD
FR100078,c43,pression systolique,pression,NOUN,SN∅,autre
FR100078,c42,L' indice de pression systolique,indice,NOUN,SNdef,Suj
FR100078,c18,l' ulcération,ulcération,NOUN,SNdef,autre
FR100078,c46,les berges de l' ulcération,berges,NOUN,SNdef,autre
FR100078,c45,le niveau de les berges de l' ulcération,niveau,NOUN,SNdef,Obl
FR100078,c48,vascularite dermique leucocytoclasique,vascularite,NOUN,SN∅,autre
FR100078,c47,les signes de vascularite dermique leucocytoclasique,signes,NOUN,SNdef,OD
FR100078,c49,les micro-thromboses,les,DET,SNdef,autre
FR100078,c51,le derme profond,derme,NOUN,SNdef,autre
FR100078,c50,une infiltration inflammatoire lymphocytaire de le derme profond,infiltration,NOUN,SNind,autre
FR100078,c44,La biopsie cutanée réalisée à le niveau de les berges de l' ulcération montrait de les signes de vascularite dermique leucocytoclasique avec de les micro-thromboses et une infiltration inflammatoire lymphocytaire de le derme profond,montrait,VERB,SNdef,autre
FR100078,c1,Le patient,patient,NOUN,SNdef,Suj
FR100078,c18,les ulcérations,ulcérations,NOUN,SNdef,autre
FR100078,c53,surinfection de les ulcérations,surinfection,NOUN,SN∅,autre
FR100078,c52,plusieurs épisodes de surinfection de les ulcérations,épisodes,NOUN,SNind,OD
FR100078,c55,les antibiotiques,antibiotiques,NOUN,SNdef,autre
FR100078,c54,le recours à les antibiotiques,recours,NOUN,SNdef,OD
FR100078,c56,La dernière,dernière,ADJ,Pro,Suj
FR100078,c57,pseudomonas aéroginosa,pseudomonas,X,SN∅,autre
FR100078,c53,ces infections,infections,NOUN,SNdem,autre
FR100078,c58,Le diagnostic de ces infections,diagnostic,NOUN,SNdef,Suj
FR100078,c59,un ensemble de signes clinico-biologiques,ensemble,NOUN,SNind,Obl
FR100078,c60,fièvre septicémique,fièvre,NOUN,SN∅,autre
FR100078,c61,présence de pus,présence,NOUN,SN∅,autre
FR100078,c62,pus,pus,NOUN,SN∅,autre
FR100078,c63,l' examen local,examen,NOUN,SNdef,autre
FR100078,c64,une hyperleucocytose à polynucléaires neutrophiles,hyperleucocytose,NOUN,SNind,autre
FR100078,c65,une C-réactive protéine élevée,C-réactive,NOUN,SNind,autre
FR100078,c66,une simple colonisation bactérienne d' ulcère,colonisation,NOUN,SNind,OD
FR100078,c18,ulcère,ulcère,NOUN,SN∅,autre
FR100078,c67,les traitements locaux,traitements,NOUN,SNdef,Obl
FR100078,c68,l' antibiothérapie adaptée,antibiothérapie,NOUN,SNdef,autre
FR100078,c13,la colchicine,colchicine,NOUN,SNdef,autre
FR100078,c71,les glucocorticoïdes,glucocorticoïdes,NOUN,SNdef,autre
FR100078,c70,la colchicine et de les glucocorticoïdes,colchicine,NOUN,SNdef,autre
FR100078,c69,la reprise de la colchicine et de les glucocorticoïdes,reprise,NOUN,SNdef,autre
FR100078,c72,l' évolution,évolution,NOUN,SNdef,Suj
FR100078,c18,les ulcérations,ulcérations,NOUN,SNdef,autre
FR100078,c73,la cicatrisation complète de les ulcérations,cicatrisation,NOUN,SNdef,Obl
FR100078,c23,les récidives,récidives,NOUN,SNdef,Suj
FR100078,c74,la mauvaise observance thérapeutique,observance,NOUN,SNdef,autre
FR100092,c1,Mme HK,Mme,NOUN,SN∅,Obl
FR100092,c2,27 ans,ans,NOUN,SNnum,Obl
FR100092,c3,1 an et demi,an,NOUN,SNnum,Obl
FR100092,c5,notre,notre,DET,Poss,autre
FR100092,c4,notre formation,formation,NOUN,Poss,Obl
FR100092,c8,la fosse iliaque droite,fosse,NOUN,SNdef,autre
FR100092,c7,une douleur de la fosse iliaque droite,douleur,NOUN,SNind,autre
FR100092,c9,1 semaine,semaine,NOUN,SNnum,Obl
FR100092,c12,2 mois,mois,NOUN,SNnum,autre
FR100092,c11,aménorrhée de 2 mois,aménorrhée,NOUN,SN∅,autre
FR100092,c10,les métrorragies sur aménorrhée de 2 mois,métrorragies,NOUN,SNdef,Obl
