id_CR,doc,mention_id,Longueur,nature_premier_maillon,FS_premier_maillon,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18
FR100003_CHAINE_c1,FR100003,c1,1,Pro,Suj,Pro,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c3,FR100003,c3,3,SNind,autre,SNind,Pro,SNind,,,,,,,,,,,,,,,
FR100003_CHAINE_c2,FR100003,c2,1,SNdef,OD,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c4,FR100003,c4,1,SN∅,Obl,SN∅,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c6,FR100003,c6,1,SNnum,Obl,SNnum,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c7,FR100003,c7,1,SNdef,autre,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c5,FR100003,c5,1,SNind,OD,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c8,FR100003,c8,1,SNdef,Obl,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c10,FR100003,c10,1,SNdef,Obl,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c11,FR100003,c11,1,SNind,Obl,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c13,FR100003,c13,1,SNdef,autre,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c12,FR100003,c12,1,SNind,autre,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c9,FR100003,c9,1,SNind,Obl,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c15,FR100003,c15,1,SNdef,autre,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c16,FR100003,c16,1,SNind,autre,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c18,FR100003,c18,1,SNdef,autre,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c17,FR100003,c17,1,SNdef,autre,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c19,FR100003,c19,1,SNind,autre,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c20,FR100003,c20,1,SNind,autre,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c14,FR100003,c14,1,Np,autre,Np,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c21,FR100003,c21,1,SNdef,Suj,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c22,FR100003,c22,1,SN∅,autre,SN∅,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c23,FR100003,c23,1,SNind,autre,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c24,FR100003,c24,1,SNdef,autre,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c26,FR100003,c26,1,Autre,autre,Autre,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c25,FR100003,c25,1,SNind,autre,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c27,FR100003,c27,1,SNdef,Suj,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c28,FR100003,c28,1,SNind,OD,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c29,FR100003,c29,1,SNind,autre,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c31,FR100003,c31,1,SNnum,autre,SNnum,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c30,FR100003,c30,1,SNind,autre,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c32,FR100003,c32,1,SNdef,Suj,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c35,FR100003,c35,1,SNdef,Obl,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c34,FR100003,c34,3,SN∅,autre,SN∅,SNind,SNdef,,,,,,,,,,,,,,,
FR100003_CHAINE_c36,FR100003,c36,1,SNdef,Obl,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c37,FR100003,c37,2,SNdef,Obl,SNdef,SNdef,,,,,,,,,,,,,,,,
FR100003_CHAINE_c39,FR100003,c39,1,SNind,Obl,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c38,FR100003,c38,1,SNind,autre,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c33,FR100003,c33,3,SNind,OD,SNind,SNdef,SNdef,,,,,,,,,,,,,,,
FR100003_CHAINE_c40,FR100003,c40,1,SNdef,Suj,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c42,FR100003,c42,2,Autre,autre,Autre,SN∅,,,,,,,,,,,,,,,,
FR100003_CHAINE_c41,FR100003,c41,1,SNind,OD,SNind,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c44,FR100003,c44,1,SNdef,autre,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c43,FR100003,c43,1,SN∅,autre,SN∅,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c46,FR100003,c46,1,SN∅,autre,SN∅,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c48,FR100003,c48,2,SNind,autre,SNind,SNnum,,,,,,,,,,,,,,,,
FR100003_CHAINE_c47,FR100003,c47,1,SN∅,autre,SN∅,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c45,FR100003,c45,1,SNdef,Suj,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c49,FR100003,c49,1,SNdef,Obl,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c50,FR100003,c50,1,SNdef,Suj,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c51,FR100003,c51,1,SNdef,OD,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c52,FR100003,c52,1,SNdef,Obl,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c53,FR100003,c53,1,SNdef,autre,SNdef,,,,,,,,,,,,,,,,,
FR100003_CHAINE_c54,FR100003,c54,1,SN∅,autre,SN∅,,,,,,,,,,,,,,,,,
