doc_id,source_id,mention_source,source_texte,source_tag,source_docTimeRel,source_eventType,source_contextualModality,source_polarity,source_timexType,relation_type,target_id,mention_target,target_texte,target_tag,target_docTimeRel,target_eventType,target_contextualModality,target_polarity,target_timexType
FR100003,5631,singleton,observation,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5691,non détecté,consulte,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5631,singleton,observation,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5751,singleton,Lexamen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5631,singleton,observation,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5646,singleton,antécédents,EVENT,CONTAINS,N/A,ACTUAL,POS,Non concerné
FR100003,5631,singleton,observation,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,5616,non détecté,rapportons,EVENT,CONTAINS,N/A,ACTUAL,POS,Non concerné
FR100003,5646,singleton,antécédents,EVENT,CONTAINS,N/A,ACTUAL,POS,Non concerné,CONTAINS,5661,singleton,diabète,EVENT,OVERLAP,N/A,ACTUAL,POS,Non concerné
FR100003,5646,singleton,antécédents,EVENT,CONTAINS,N/A,ACTUAL,POS,Non concerné,CONTAINS,5676,singleton,soins,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5661,singleton,diabète,EVENT,OVERLAP,N/A,ACTUAL,POS,Non concerné,OVERLAP,6977,singleton,deux mois,TIMEX3,Non concerné,Non concerné,Non concerné,Non concerné,DURATION
FR100003,5706/6704,singleton,masse,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5691,non détecté,consulte,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5706/6704,singleton,masse,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5721,singleton,contexte,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5706/6704,singleton,masse,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5736,singleton,altération,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5751,singleton,Lexamen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5826,singleton,PA,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5751,singleton,Lexamen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5811,singleton,fréquence,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5781/6720,non détecté,asthénique,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5751,singleton,Lexamen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5796/6728,singleton,érythème,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5751,singleton,Lexamen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5841,singleton,état,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5751,singleton,Lexamen,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5841,singleton,état,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5856,singleton,fréquence,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5841,singleton,état,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5871,singleton,SaO2,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5841,singleton,état,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5901,singleton,bilan,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5841,singleton,état,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,OVERLAP,5886/6736,singleton,fièvre,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5901,singleton,bilan,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,5976,singleton,TDM,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5931/6744,singleton,hyperleucocytose,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5901,singleton,bilan,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5946,singleton,CRP,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5901,singleton,bilan,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5961,singleton,glycémie,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5901,singleton,bilan,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,5976,singleton,TDM,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné,BEFORE,6051,singleton,panoramique,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
FR100003,6006/6752,c33,phlegmon,EVENT/CLINENTITY,BEFORE,N/A,ACTUAL,POS,Non concerné,CONTAINS,5976,singleton,TDM,EVENT,BEFORE,N/A,ACTUAL,POS,Non concerné
