Super_Label,ID_gSpan
EVENT_BEFORE_N/A_ACTUAL_POS,0
EVENT_CONTAINS_N/A_ACTUAL_POS,1
EVENT_OVERLAP_N/A_ACTUAL_POS,2
DURATION,3
EVENT/CLINENTITY_BEFORE_N/A_ACTUAL_POS,4
EVENT_BEFORE_ASPECTUAL_ACTUAL_POS,5
EVENT_BEFORE_N/A_ACTUAL_NEG,6
EVENT/CLINENTITY_BEFORE_N/A_ACTUAL_NEG,7
EVENT_BEFORE_EVIDENTIAL_ACTUAL_POS,8
EVENT/CLINENTITY_OVERLAP_N/A_ACTUAL_POS,9
DATE,10
EVENT_OVERLAP_N/A_ACTUAL_NEG,11
EVENT/CLINENTITY_BEFORE_N/A_HEDGED_POS,12
EVENT_BEFORE_N/A_HEDGED_POS,13
EVENT_IS-CONTAINED_N/A_ACTUAL_POS,14
EVENT_BEFORE_EVIDENTIAL_ACTUAL_NEG,15
TIME,16
EVENT_CONTAINS_N/A_ACTUAL_NEG,17
PREPOSTEXP,18
EVENT_BEFORE_N/A_HYPOTHETICAL-IF_POS,19
EVENT_AFTER_N/A_HYPOTHETICAL-IF_POS,20
EVENT_BEFORE_ASPECTUAL_ACTUAL_NEG,21
EVENT_OVERLAP_EVIDENTIAL_ACTUAL_NEG,22
EVENT_OVERLAP_EVIDENTIAL_ACTUAL_POS,23
EVENT_BEFORE_N/A_HEDGED_NEG,24
EVENT_AFTER_N/A_ACTUAL_POS,25
EVENT/CLINENTITY_IS-CONTAINED_N/A_ACTUAL_NEG,26
EVENT_BEFORE_N/A_GENERIC_POS,27
EVENT_IS-CONTAINED_EVIDENTIAL_ACTUAL_POS,28
EVENT/CLINENTITY_CONTAINS_N/A_ACTUAL_POS,29
EVENT_OVERLAP_N/A_HEDGED_POS,30
EVENT/CLINENTITY_OVERLAP_N/A_ACTUAL_NEG,31
