ID_Motif,Support,Document,Structure_Abstraite,Exemples_du_Texte
12,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL_POS] | [EVENT_BEFORE_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL_POS],"""CRP"" --(CONTAINS)--> ""bilan"" | ""bilan"" --(BEFORE)--> ""TDM"""
12,70,FR100078,[EVENT_BEFORE_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL_POS] | [EVENT_BEFORE_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL_POS],"""pouls"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""doppler"""
12,70,FR100092,[EVENT_BEFORE_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL_POS] | [EVENT_BEFORE_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL_POS],"""grossesse"" --(CONTAINS)--> ""tableau"" | ""tableau"" --(BEFORE)--> ""reste"""
12,70,FR100120,[EVENT_BEFORE_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL_POS] | [EVENT_BEFORE_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL_POS],"""examen"" --(CONTAINS)--> ""reste"" | ""reste"" --(BEFORE)--> ""traitement"""
12,70,FR100130,[EVENT_BEFORE_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL_POS] | [EVENT_BEFORE_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL_POS],"""état"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""biologie"""
12,70,FR100132,[EVENT_BEFORE_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL_POS] | [EVENT_BEFORE_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL_POS],"""amas"" --(CONTAINS)--> ""histologie"" | ""histologie"" --(BEFORE)--> ""examen"""
12,70,FR100142,[EVENT_BEFORE_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL_POS] | [EVENT_BEFORE_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL_POS],"""tuberculose"" --(CONTAINS)--> ""biopsie"" | ""biopsie"" --(BEFORE)--> ""mis"""
12,70,FR100161,[EVENT_BEFORE_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL_POS] | [EVENT_BEFORE_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL_POS],"""sérologie"" --(CONTAINS)--> ""examens"" | ""examens"" --(BEFORE)--> ""radiographie"""
12,70,FR100168,[EVENT_BEFORE_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL_POS] | [EVENT_BEFORE_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL_POS],"""suites"" --(CONTAINS)--> ""bilan"" | ""bilan"" --(BEFORE)--> ""tests"""
12,70,FR100185,[EVENT_BEFORE_N/A_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL_POS] | [EVENT_BEFORE_N/A_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL_POS],"""abolition"" --(CONTAINS)--> ""Electromyogramme"" | ""Electromyogramme"" --(BEFORE)--> ""IRM"""
