Super_Label,ID_gSpan
EVENT_BEFORE_ACTUAL_POS,0
EVENT_CONTAINS_ACTUAL_POS,1
EVENT_OVERLAP_ACTUAL_POS,2
DURATION,3
EVENT/CLINENTITY_BEFORE_ACTUAL_POS,4
EVENT_BEFORE_ACTUAL_NEG,5
EVENT/CLINENTITY_BEFORE_ACTUAL_NEG,6
EVENT/CLINENTITY_OVERLAP_ACTUAL_POS,7
DATE,8
EVENT_OVERLAP_ACTUAL_NEG,9
EVENT/CLINENTITY_BEFORE_HEDGED_POS,10
EVENT_BEFORE_HEDGED_POS,11
EVENT_IS-CONTAINED_ACTUAL_POS,12
TIME,13
EVENT_CONTAINS_ACTUAL_NEG,14
PREPOSTEXP,15
EVENT_BEFORE_HYPOTHETICAL-IF_POS,16
EVENT/CLINENTITY_AFTER_HYPOTHETICAL-IF_POS,17
EVENT_AFTER_HYPOTHETICAL-IF_POS,18
EVENT_BEFORE_HEDGED_NEG,19
EVENT_AFTER_ACTUAL_POS,20
EVENT/CLINENTITY_IS-CONTAINED_ACTUAL_NEG,21
EVENT_BEFORE_GENERIC_POS,22
EVENT/CLINENTITY_CONTAINS_ACTUAL_POS,23
EVENT_OVERLAP_HEDGED_POS,24
EVENT/CLINENTITY_OVERLAP_ACTUAL_NEG,25
