ID_Motif,Support,Document,Structure_Abstraite,Mot_1,Relation_1,Mot_2,Relation_2,Mot_3,Relation_3,Mot_4,Relation_4,Mot_5,Relation_5,Mot_6,Relation_6,Mot_7,Relation_7,Mot_8,Relation_8,Mot_9,Relation_9,Mot_10,Relation_10,Mot_11,Relation_11,Mot_12,Relation_12,Mot_13
14,73,FR100003,[EVENT_BEFORE_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_ACTUAL_POS] | [EVENT_BEFORE_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_ACTUAL_POS],épanchement,CONTAINS,TDM,BEFORE,panoramique,,,,,,,,,,,,,,,,,,,,
14,73,FR100003,[EVENT_BEFORE_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_ACTUAL_POS] | [EVENT_BEFORE_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_ACTUAL_POS],streptococcus,CONTAINS,culture,BEFORE,réajustée,,,,,,,,,,,,,,,,,,,,
14,73,FR100003,[EVENT_BEFORE_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_ACTUAL_POS] | [EVENT_BEFORE_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_ACTUAL_POS],mixte,CONTAINS,examen,BEFORE,antibiothérapie,,,,,,,,,,,,,,,,,,,,
14,73,FR100003,[EVENT_BEFORE_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_ACTUAL_POS] | [EVENT_BEFORE_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_ACTUAL_POS],abondantes,CONTAINS,examen,BEFORE,antibiothérapie,,,,,,,,,,,,,,,,,,,,
14,73,FR100003,[EVENT_BEFORE_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_ACTUAL_POS] | [EVENT_BEFORE_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_ACTUAL_POS],CRP,CONTAINS,bilan,BEFORE,TDM,,,,,,,,,,,,,,,,,,,,
14,73,FR100003,[EVENT_BEFORE_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_ACTUAL_POS] | [EVENT_BEFORE_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_ACTUAL_POS],glycémie,CONTAINS,bilan,BEFORE,TDM,,,,,,,,,,,,,,,,,,,,
14,73,FR100003,[EVENT_BEFORE_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_ACTUAL_POS] | [EVENT_BEFORE_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_ACTUAL_POS],bactéries,CONTAINS,examen,BEFORE,examen,,,,,,,,,,,,,,,,,,,,
14,73,FR100003,[EVENT_BEFORE_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_ACTUAL_POS] | [EVENT_BEFORE_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_ACTUAL_POS],leucocytes,CONTAINS,examen,BEFORE,examen,,,,,,,,,,,,,,,,,,,,
14,73,FR100003,[EVENT_BEFORE_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_ACTUAL_POS] | [EVENT_BEFORE_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_ACTUAL_POS],délabrement,CONTAINS,panoramique,BEFORE,ponction,,,,,,,,,,,,,,,,,,,,
14,73,FR100003,[EVENT_BEFORE_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_ACTUAL_POS] | [EVENT_BEFORE_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_ACTUAL_POS],granulome,CONTAINS,panoramique,BEFORE,ponction,,,,,,,,,,,,,,,,,,,,
14,73,FR100078,[EVENT_BEFORE_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_ACTUAL_POS] | [EVENT_BEFORE_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_ACTUAL_POS],pus,CONTAINS,diagnostic,BEFORE,traitements,,,,,,,,,,,,,,,,,,,,
14,73,FR100078,[EVENT_BEFORE_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_ACTUAL_POS] | [EVENT_BEFORE_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_ACTUAL_POS],pouls,CONTAINS,examen,BEFORE,doppler,,,,,,,,,,,,,,,,,,,,
14,73,FR100078,[EVENT_BEFORE_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_ACTUAL_POS] | [EVENT_BEFORE_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_ACTUAL_POS],signes,CONTAINS,diagnostic,BEFORE,traitements,,,,,,,,,,,,,,,,,,,,
14,73,FR100092,[EVENT_BEFORE_ACTUAL_POS] --(CONTAINS)--> [EVENT_BEFORE_ACTUAL_POS] | [EVENT_BEFORE_ACTUAL_POS] --(BEFORE)--> [EVENT_BEFORE_ACTUAL_POS],empâtement,CONTAINS,examen,BEFORE,échographie,,,,,,,,,,,,,,,,,,,,
