t_index,Document
0,FR100003
1,FR100078
2,FR100092
3,FR100120
4,FR100130
5,FR100132
6,FR100142
7,FR100161
8,FR100168
9,FR100185
10,FR100227
11,FR100255
12,FR100275
13,FR100276
14,FR100282
15,FR100283
16,FR100296
17,FR100314
18,FR100344
19,FR100346
20,FR100360
21,FR100361
22,FR100371
23,FR100400
24,FR100439
25,FR100448
26,FR100453
27,FR100480
28,FR100510
29,FR100515
30,FR100517
31,FR100519
32,FR100579
33,FR100589
34,FR100597
35,FR100603
36,FR100611
37,FR100614
38,FR100620
39,FR100623
40,FR100629
41,FR100632
42,FR100658
43,FR100663
44,FR100666
45,FR100683
46,FR100688
47,FR100689
48,FR100697
49,FR100708
50,FR100717
51,FR100748
52,FR100766
53,FR100780
54,FR100806
55,FR100814
56,FR100826
57,FR100845
58,FR100849
59,FR100870
60,FR100874
61,FR100882
62,FR100883
63,FR100894
64,FR100903
65,FR100919
66,FR100921
67,FR100925
68,FR100930
69,FR100932
70,FR100944
71,FR100946
72,FR100959
73,FR100960
74,FR100971
75,FR100979
76,FR100986
77,FR100994
78,FR100996
79,FR100998
80,FR101000
