Super_Label,ID_gSpan
EVENT_BEFORE_N/A_ACTUAL,0
EVENT_CONTAINS_N/A_ACTUAL,1
EVENT_OVERLAP_N/A_ACTUAL,2
DURATION,3
EVENT/CLINENTITY_BEFORE_N/A_ACTUAL,4
EVENT_BEFORE_ASPECTUAL_ACTUAL,5
EVENT_BEFORE_EVIDENTIAL_ACTUAL,6
EVENT/CLINENTITY_OVERLAP_N/A_ACTUAL,7
DATE,8
EVENT/CLINENTITY_BEFORE_N/A_HEDGED,9
EVENT_BEFORE_N/A_HEDGED,10
EVENT_IS-CONTAINED_N/A_ACTUAL,11
TIME,12
PREPOSTEXP,13
EVENT_BEFORE_N/A_HYPOTHETICAL-IF,14
EVENT/CLINENTITY_AFTER_N/A_HYPOTHETICAL-IF,15
EVENT_AFTER_N/A_HYPOTHETICAL-IF,16
EVENT_OVERLAP_EVIDENTIAL_ACTUAL,17
EVENT_AFTER_N/A_ACTUAL,18
EVENT/CLINENTITY_IS-CONTAINED_N/A_ACTUAL,19
EVENT_BEFORE_N/A_GENERIC,20
EVENT_IS-CONTAINED_EVIDENTIAL_ACTUAL,21
EVENT/CLINENTITY_CONTAINS_N/A_ACTUAL,22
EVENT_OVERLAP_N/A_HEDGED,23
