ID_Motif,Support,Document,Structure_Abstraite,Exemples_du_Texte
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],"""granulome"" --(CONTAINS)--> ""panoramique"" | ""panoramique"" --(BEFORE)--> ""ponction"""
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],"""épanchement"" --(CONTAINS)--> ""TDM"" | ""TDM"" --(BEFORE)--> ""panoramique"""
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],"""CRP"" --(CONTAINS)--> ""bilan"" | ""bilan"" --(BEFORE)--> ""TDM"""
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],"""leucocytes"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""examen"""
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],"""streptococcus"" --(CONTAINS)--> ""culture"" | ""culture"" --(BEFORE)--> ""réajustée"""
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],"""bactéries"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""examen"""
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],"""abondantes"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""antibiothérapie"""
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],"""mixte"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""antibiothérapie"""
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],"""glycémie"" --(CONTAINS)--> ""bilan"" | ""bilan"" --(BEFORE)--> ""TDM"""
21,70,FR100003,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],"""délabrement"" --(CONTAINS)--> ""panoramique"" | ""panoramique"" --(BEFORE)--> ""ponction"""
21,70,FR100078,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],"""pouls"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""doppler"""
21,70,FR100078,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],"""signes"" --(CONTAINS)--> ""diagnostic"" | ""diagnostic"" --(BEFORE)--> ""traitements"""
21,70,FR100078,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],"""pus"" --(CONTAINS)--> ""diagnostic"" | ""diagnostic"" --(BEFORE)--> ""traitements"""
21,70,FR100092,[EVENT_BEFORE_N/A_ACTUAL] --(CONTAINS)--> [EVENT_BEFORE_N/A_ACTUAL] | [EVENT_BEFORE_N/A_ACTUAL] --(BEFORE)--> [EVENT_BEFORE_N/A_ACTUAL],"""empâtement"" --(CONTAINS)--> ""examen"" | ""examen"" --(BEFORE)--> ""échographie"""
