doc,mention_id,texte_maillon,tete_lexicale,nature,fonction
IT100002,c1,Anna,Anna,Np,Suj
IT100002,c1,una donna di 47 anni,donna,SNind,autre
IT100002,c2,il figlio,figlio,SNdef,Obl
IT100002,c3,un piccolo appartamento,appartamento,SNind,Obl
IT100002,c4,un paese carsico,paese,SNind,autre
IT100002,c5,il campo di la ristorazione,campo,SNdef,Obl
IT100002,c6,una patologia genetica familiare che,patologia,SNind,Obl
IT100002,c7,"le alterazioni scheletriche , cardiologiche , oculari e cutanee",alterazioni,SNdef,Obl
IT100002,c8,una vita serena e tranquilla,vita,SNind,OD
IT100002,c9,una buona rete familiare e informale che,rete,SNind,OD
IT100002,c10,la famiglia,famiglia,SNdef,OD
IT100002,c12,patologia rara,patologia,SN∅,autre
IT100002,c11,un centro di riferimento specifico per patologia rara a Bologna,centro,SNind,Obl
IT100002,c13,Bologna,Bologna,Np,autre
IT100002,c14,controlli clinicostrumentali periodici e regolari,controlli,SN∅,Obl
IT100002,c15,il gennaio di il 2017,gennaio,SNdef,Obl
IT100002,c16,2017,2017,Autre,autre
IT100002,c18,piede torto congenito,piede,SN∅,autre
IT100002,c17,un intervento chirurgico di piede torto congenito,intervento,SNind,OD
IT100002,c19,l’ Istituto Rizzoli,Istituto,SNdef,Obl
IT100002,c20,la degenza,degenza,SNdef,Obl
IT100002,c21,un dolore retrosternale,dolore,SNind,autre
IT100002,c22,una sincope,sincope,SNind,autre
IT100002,c24,endoprotesi di aorta per dissezione acuta,endoprotesi,SN∅,autre
IT100002,c23,un intervento di endoprotesi di aorta per dissezione acuta,intervento,SNind,Obl
IT100002,c25,casa,casa,SN∅,autre
IT100002,c26,il marzo di il 2017,marzo,SNdef,Obl
IT100002,c16,2017,2017,Autre,autre
IT100002,c27,i controlli cardiologici,controlli,SNdef,OD
IT100002,c17,intervento a il piede,intervento,SN∅,autre
IT100002,c29,gli esiti di intervento a il piede,esiti,SNdef,Obl
IT100002,c18,piede,piede,SN∅,autre
IT100002,c30,regolari controlli ematici,controlli,SN∅,autre
IT100002,c28,la fisioterapia per gli esiti di intervento a il piede e regolari controlli ematici,fisioterapia,SNdef,OD
IT100002,c31,la deambulazione,deambulazione,SNdef,Obl
IT100002,c33,Distretto n. 1 di l’ ASUGI di Trieste,Distretto,SN∅,autre
IT100002,c32,i servizi di il Distretto n. 1 di l’ ASUGI di Trieste,servizi,SNdef,Obl
IT100002,c34,Trieste,Trieste,Np,autre
IT100002,c1,Anna,Anna,Np,Suj
IT100002,c35,un primo momento,momento,SNind,Obl
IT100002,c37,piano assistenziale predisposto,piano,SN∅,Obl
IT100002,c36,una persona collaborante a il piano assistenziale predisposto,persona,SNind,autre
IT100002,c39,la ferita a il piede,ferita,SNdef,autre
IT100002,c29,gli esiti di la ferita a il piede,esiti,SNdef,OD
IT100002,c38,un paio di interventi per controllare gli esiti di la ferita a il piede,paio,SNind,Obl
IT100002,c18,piede,piede,SN∅,autre
IT100002,c40,qualcosa,qualcosa,Pro,Suj
IT100002,c41,la scheda PHE -S®,scheda,SNdef,OD
IT100002,c6,la malattia,malattia,SNdef,autre
IT100002,c43,l’ elaborazione di il vissuto di la malattia,elaborazione,SNdef,autre
IT100002,c42,una valutazione di l’ elaborazione di il vissuto di la malattia,valutazione,SNind,Obl
IT100002,c44,"un punteggio di 2,5",punteggio,SNind,OD
IT100002,c1,lei,lei,Pro,Obl
IT100002,c17,l’ intervento a il cuore,intervento,SNdef,OD
IT100002,c45,una profonda difficoltà ad accettare l’ intervento a il cuore,difficoltà,SNind,Suj
IT100002,c46,cuore,cuore,SN∅,autre
IT100002,c1,riferisce,riferisce,Autre,autre
IT100002,c1,ripete,ripete,Autre,autre
IT100002,c45,Questa incapacità di reagire,incapacità,SNdem,Suj
IT100002,c47,il piano pratico,piano,SNdef,Obl
IT100002,c48,la pressione arteriosa,pressione,SNdef,OD
IT100002,c49,le dimissioni ospedaliere,dimissioni,SNdef,Obl
IT100002,c51,le analisi diagnostico - strumentali,analisi,SNdef,autre
IT100002,c50,risultati di le analisi diagnostico - strumentali,risultati,SN∅,Obl
IT100002,c18,il piede che,piede,SNdef,Obl
IT100002,c1,le,le,SNdef,OI
IT100002,c52,molto dolore,dolore,SN∅,OD
IT100002,c53,questo caso,caso,SNdem,Obl
IT100002,c37,il piano assistenziale individuale,piano,SNdef,Suj
IT100002,c55,l’ arto inferiore,arto,SNdef,autre
IT100002,c54,un ciclo di fisiokinesiterapia per l’ arto inferiore,ciclo,SNind,OD
IT100002,c57,parametri vitali,parametri,SN∅,autre
IT100002,c56,interventi infermieristici di monitoraggio di i parametri vitali e di il dolore,interventi,SN∅,autre
IT100002,c52,dolore,dolore,SN∅,autre
IT100002,c58,educazione terapeutica,educazione,SN∅,autre
IT100002,c27,controlli cardiologici,controlli,SN∅,autre
IT100002,c30,esami ematochimici,esami,SN∅,autre
IT100002,c59,lo stato di “ black out ”,stato,SNdef,Obl
IT100002,c33,Distretto Sanitario,Distretto,SN∅,autre
IT100002,c61,una psicoterapeuta di il Distretto Sanitario,psicoterapeuta,SNind,autre
IT100002,c60,l’ intervento di una psicoterapeuta di il Distretto Sanitario,intervento,SNdef,Suj
IT100002,c17,l’ intervento chirurgico a il cuore,intervento,SNdef,autre
IT100002,c63,lo shock di l’ intervento chirurgico a il cuore,shock,SNdef,OD
IT100002,c62,risorse atte a superare lo shock di l’ intervento chirurgico a il cuore,risorse,SN∅,OD
IT100002,c46,cuore,cuore,SN∅,autre
IT100002,c64,La vita,vita,SNdef,Suj
IT100002,c1,questa giovane donna,donna,SNdem,Obl
IT100002,c1,la sua,la,SNdef,autre
IT100002,c65,la sua sede lavorativa,sede,SNdef,Obl
IT100002,c66,l’ attività in piedi per molte ore,attività,SNdef,Suj
IT100002,c1,il suo,il,SNdef,autre
IT100002,c67,il suo stato di salute,stato,SNdef,Obl
IT100002,c68,il licenziamento,licenziamento,SNdef,Suj
IT100002,c70,l’ assistente sociale,assistente,SNdef,autre
IT100002,c69,Un colloquio con l’ assistente sociale,colloquio,SNind,Suj
IT100002,c1,Anna,Anna,Np,OD
IT100002,c1,lei,lei,Pro,autre
IT100002,c1,la sua,la,SNdef,autre
IT100002,c10,la sua famiglia,famiglia,SNdef,autre
IT100002,c71,le varie possibilità di sostegno economico per lei e la sua famiglia,possibilità,SNdef,Obl
IT100002,c41,la PHE - S,PHE,Np,autre
IT100002,c72,I valori di la PHE - S,valori,SNdef,Suj
IT100002,c73,un punteggio pari a 3,punteggio,SNind,OD
IT100002,c75,l’ infermiera,infermiera,SNdef,autre
IT100002,c76,la fisioterapista,fisioterapista,SNdef,autre
IT100002,c74,il supporto di l’ infermiera e di la fisioterapista,supporto,SNdef,autre
IT100002,c1,Anna,Anna,Np,Suj
IT100002,c77,un ruolo attivo,ruolo,SNind,OD
IT100002,c1,la sua,la,SNdef,autre
IT100002,c67,la sua salute,salute,SNdef,autre
IT100002,c78,la gestione di la sua salute,gestione,SNdef,autre
IT100002,c48,"la pressione arteriosa , che",pressione,SNdef,OD
IT100002,c80,il cardiologo,cardiologo,SNdef,Obl
IT100002,c79,i valori consigliati da il cardiologo,valori,SNdef,Obl
IT100002,c81,gli accertamenti di controllo,accertamenti,SNdef,Obl
IT100002,c83,60 Engagement e coinvolgimento attivo,Engagement,SNnum,autre
IT100002,c84,ciascuna terapia,terapia,SNind,autre
IT100002,c82,gli effetti di 60 Engagement e coinvolgimento attivo ciascuna terapia,effetti,SNdef,OD
IT100002,c1,riesce,riesce,Autre,autre
IT100002,c85,stampelle,stampelle,SN∅,Obl
IT100002,c86,il medico di medicina generale,medico,SNdef,OD
IT100002,c86,che,che,Pro,Suj
IT100002,c87,un professionista attivo e collaborante,professionista,SNind,Obl
IT100002,c1,riesce,riesce,Autre,autre
IT100002,c89,lo stile di vita,stile,SNdef,autre
IT100002,c1,suo,suo,Poss,autre
IT100002,c67,suo stato di salute,stato,Poss,Obl
IT100002,c88,cambiamenti di lo stile di vita relativi a il suo stato di salute,cambiamenti,SN∅,OD
IT100002,c90,una corretta alimentazione,alimentazione,SNind,OD
IT100002,c91,un’ adeguata attività fisica,attività,SNind,autre
IT100002,c94,ridotte capacità,capacità,SN∅,autre
IT100002,c93,persone con ridotte capacità,persone,SN∅,autre
IT100002,c92,le liste di collocamento speciali per persone con ridotte capacità,liste,SNdef,Obl
IT100002,c95,corsi di formazione,corsi,SN∅,OD
IT100002,c97,un nuovo lavoro,lavoro,SNind,OD
IT100002,c96,la possibilità di esercitare un nuovo lavoro,possibilità,SNdef,OD
IT100003,c1,Gabriele,Gabriele,Np,Suj
IT100003,c1,"un uomo di 53 anni , affetto da il 2004",uomo,SNind,autre
IT100003,c2,malattie croniche altamente invalidanti,malattie,SN∅,Obl
IT100003,c3,la distrofia muscolare di tipo 1,distrofia,SNdef,autre
IT100003,c4,il diabete mellito di tipo 2,diabete,SNdef,autre
IT100003,c2,la distrofia muscolare di tipo 1 e il diabete mellito di tipo 2,distrofia,SNdef,autre
IT100003,c6,Trieste,Trieste,Np,autre
IT100003,c5,un piccolo borgo di Trieste in una zona periferica,borgo,SNind,Obl
IT100003,c7,la madre anziana,madre,SNdef,Obl
IT100003,c1,le sue,le,SNdef,autre
IT100003,c2,le sue patologie,patologie,SNdef,autre
IT100003,c8,un basso livello di scolarità,livello,SNind,autre
IT100003,c9,un’ occupazione,occupazione,SNind,OD
IT100003,c1,l’ uomo,uomo,SNdef,autre
IT100003,c10,Le condizioni fisiche di l’ uomo,condizioni,SNdef,Suj
IT100003,c11,gli ultimi anni,anni,SNdef,autre
IT100003,c1,la sua,la,SNdef,autre
IT100003,c12,la sua funzione motoria,funzione,SNdef,OD
IT100003,c13,l’ ultimo anno,anno,SNdef,autre
IT100003,c14,una carrozzina,carrozzina,SNind,autre
IT100003,c7,la madre di Gabriele,madre,SNdef,Suj
