"Document","ID_chaine","Cluster","Enchaînement_nature","Annotation_corpus","Mots_contexte"
"FR100003","c3","Classe 1","(SNind,1)-(Pro,1)-(SNind,1)","ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT)","un homme de 55 ans enseignant de fonction, qui, un patient"
"FR100003","c34","Classe 2","(SN∅,1)-(SNind,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY","cellulite, cellulite, cellulite"
"FR100003","c37","Classe 3","(SNdef,2)","BODYPART -> BODYPART","médiastin, médiastin"
"FR100003","c33","Classe 1","(SNind,1)-(SNdef,2)","EVENT/CLINENTITY -> Non annoté -> EVENT/CLINENTITY","phlegmon, la collection, phlegmon"
"FR100003","c42","Classe 2","(SNdef,1)-(SN∅,1)","BODYPART -> BODYPART","la 45 (3éme molaire), la 45 (3éme molaire)"
"FR100003","c56","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","antibiothérapie, antibiothérapie"
"FR100003","c58","Classe 3","(SNdef,2)","EVENT -> EVENT","bloc, bloc"
"FR100078","c1","Classe 3","(SN∅,1)-(SNdef,1)-(Pro,1)-(SNdef,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","M.J Patient Tunisien âgé de 42 ans, Le patient, Il, Le patient"
"FR100078","c2","Classe 3","(SNdef,2)","Non annoté -> CLINENTITY","la MB, maladie"
"FR100078","c13","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","colchicine, colchicine"
"FR100078","c19","Classe 3","(SNdef,2)","BODYPART -> BODYPART","des deux jambes, des deux jambes"
"FR100078","c18","Classe 3","(SNdef,4)-(SN∅,1)-(SNdef,1)","EVENT -> CLINENTITY -> CLINENTITY -> CLINENTITY -> CLINENTITY -> CLINENTITY","ulcères, ulcère, ulcération, ulcérations, ulcère, ulcérations"
"FR100078","c20","Classe 2","(SNdef,1)-(SNdem,1)","EVENT -> Non annoté","hospitalisation, ces hospitalisations"
"FR100078","c23","Classe 3","(SNdef,2)","EVENT -> EVENT","récidives, récidives"
"FR100078","c53","Classe 2","(SN∅,1)-(SNdem,1)","EVENT/CLINENTITY -> Non annoté","surinfection, ces infections"
"FR100092","c1","Classe 3","(Np,1)-(SNdef,2)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Mme HK, La patiente, La patiente"
"FR100092","c27","Classe 1","(SNind,1)-(SNdef,1)","BODYPART -> BODYPART","l'utérus, l'utérus"
"FR100092","c33","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","ligne, qui"
"FR100092","c36","Classe 1","(SNind,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","masse, masse"
"FR100092","c42","Classe 2","(SN∅,2)","Non annoté -> EVENT","β-HCG, hormone"
"FR100092","c54","Classe 3","(SNdef,2)","EVENT -> EVENT","exploration, exploration"
"FR100120","c1","Classe 1","(SNind,1)-(Poss,1)-(SNdem,1)-(Pro,1)-(Poss,1)","ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté","ce militaire, ses, ce militaire, il, son"
"FR100120","c8","Classe 1","(SNind,1)-(SN∅,1)-(SNposs,1)","EVENT -> EVENT -> EVENT","diabète, diabète, diabète"
"FR100120","c21","Classe 2","(SNnum,2)-(SNdef,1)-(SNind,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY","papules, lésions, lésions, lésion, lésion"
"FR100120","c26","Classe 3","(SNdef,2)","EVENT -> EVENT","examen, examen"
"FR100120","c28","Classe 1","(SNind,2)","EVENT -> EVENT","orifice, orifice"
"FR100120","c51","Classe 3","(SNdef,1)-(SNdem,1)-(Pro,1)-(SNdef,2)","EVENT -> EVENT -> Non annoté -> CLINENTITY -> EVENT","larves, larves, elles, larve, larves"
"FR100130","c7","Classe 3","(SNdef,2)","EVENT -> EVENT","lombalgies, lombalgies"
"FR100130","c1","Classe 3","(SNind,1)-(Pro,2)-(SNposs,1)-(SNdef,3)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Le patient, Il, Il, Le patient, Le patient, Le patient, Le patient"
"FR100130","c20","Classe 3","(SNdef,2)","CLINENTITY -> CLINENTITY","contracture des muscles, contracture des muscles"
"FR100130","c19","Classe 1","(SNind,1)-(SNdem,1)-(SNdef,3)","EVENT -> EVENT/CLINENTITY -> EVENT -> EVENT -> EVENT","contracture, contractures, contracture, contracture, contracture"
"FR100130","c23","Classe 3","(SNdef,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY","crampes, crampes"
"FR100130","c33","Classe 2","(SNdef,1)-(SN∅,1)","EVENT -> Non annoté","créatine, CPK"
"FR100130","c34","Classe 2","(SNdef,1)-(SN∅,1)","EVENT -> Non annoté","lactate, LDH"
"FR100130","c38","Classe 1","(SNdef,1)-(SNind,1)","EVENT -> EVENT","bilan, bilan"
"FR100130","c39","Classe 2","(SNdef,1)-(SN∅,1)-(SNdem,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT","SHR, SHR, forme"
"FR100130","c40","Classe 3","(SNdef,2)","EVENT -> EVENT","diagnostic, diagnostic"
"FR100130","c41","Classe 3","(SNdef,1)-(Pro,1)","EVENT -> Non annoté","électromyogramme, qui"
"FR100130","c73","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","aggravation, aggravation"
"FR100130","c80","Classe 1","(SNind,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","dysarthrie, dysarthrie"
"FR100130","c78","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","dyspnée, dyspnée"
"FR100130","c105","Classe 2","(SNnum,2)","TIMEX3 -> TIMEX3","1 mois, 1 mois"
"FR100132","c1","Classe 3","(Poss,1)-(SNind,1)-(SNdef,1)-(Pro,1)-(Poss,1)-(SNdef,3)-(Poss,1)-(Pro,1)","ACTOR (H-PROFESSIONAL) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (H-PROFESSIONAL) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT)","son ophtalmologue, Une femme de 51 ans, La patiente, elle, son ophtalmologue, La patiente, La patiente, La patiente, sa, elle"
"FR100132","c4","Classe 3","(SNdef,4)","CLINENTITY -> EVENT -> EVENT -> CLINENTITY","papules, problèmes, signes, papules"
"FR100132","c8","Classe 1","(SNind,1)-(Pro,1)","EVENT -> Non annoté","diagnostic, en"
"FR100132","c11","Classe 3","(SNdef,2)","CLINENTITY -> CLINENTITY","baisse de l'acuité visuelle, baisse de l'acuité visuelle"
"FR100132","c10","Classe 1","(SNind,2)","EVENT -> EVENT","baisse, baisse"
"FR100132","c26","Classe 3","(SNdef,2)","BODYPART -> BODYPART","aux plis, aux plis"
"FR100132","c30","Classe 3","(SNdef,2)-(Poss,1)","BODYPART -> BODYPART -> ACTOR (H-PROFESSIONAL)","la peau, la peau, son ophtalmologue"
"FR100132","c49","Classe 3","(SNdef,2)","BODYPART -> BODYPART","les deux yeux, les deux yeux"
"FR100142","c5","Classe 3","(SNnum,1)-(SNdem,1)-(SNdef,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY","nodules, lésions, lésions, lésions"
"FR100142","c9","Classe 3","(SNdef,3)","BODYPART -> BODYPART -> BODYPART","l'avant bras droit, tout le membre, l'avant bras droit"
"FR100142","c1","Classe 3","(Np,1)-(SNdef,1)-(Pro,1)-(SNdef,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT)","Mr SS, Le patient, Il, Le patient"
"FR100142","c39","Classe 3","(SNdef,2)","BODYPART -> BODYPART","des 2 membres supérieurs, des 2 membres supérieurs"
"FR100142","c38","Classe 1","(SNind,1)-(SNdef,1)","EVENT/CLINENTITY -> EVENT/CLINENTITY","lymphoedème, lymphoedème"
"FR100142","c50","Classe 3","(SNdef,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY","adénopathies, adénopathies"
"FR100142","c63","Classe 3","(SNdef,2)","EVENT -> EVENT","Ferritinémie, Ferritinémie"
"FR100142","c76","Classe 3","(SNdef,3)","EVENT -> EVENT -> EVENT","taux, taux, taux"
"FR100161","c1","Classe 1","(SNind,1)-(Poss,1)-(SNdef,1)","ACTOR (PATIENT) -> Non annoté -> ACTOR (PATIENT)","Le patient, ses, Le patient"
"FR100161","c8","Classe 2","(SN∅,1)-(SNdef,1)","EVENT -> EVENT","persistance, persistance"
"FR100161","c23","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","cytolyse, cytolyse"
"FR100161","c31","Classe 2","(SNdef,1)-(SN∅,1)-(SNdef,1)","CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY","hépatite C, HVC, HVC"
"FR100161","c45","Classe 1","(SNind,1)-(SNdef,1)-(Pro,1)-(SNdef,2)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> Non annoté -> CLINENTITY -> CLINENTITY","masse, masse, qui, tumeur, tumeur"
"FR100161","c66","Classe 3","(SNdef,2)","TIMEX3 -> TIMEX3","24 heures, 24 heures"
"FR100168","c1","Classe 4","(SNind,1)-(SNdef,1)-(SNposs,1)-(SNdef,5)-(Poss,1)","ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (PATIENT) -> ACTOR (OTHER)","un homme âgé de 38 ans, au patient, au patient, au patient, au patient, au patient, au patient, au patient, tous les membres de sa famille"
"FR100168","c14","Classe 1","(SNind,1)-(SNdef,1)","EVENT -> EVENT","ostéosynthèse, intervention"
"FR100168","c20","Classe 3","(SNdef,2)","EVENT -> EVENT","plaquettes, plaquettes"
"FR100168","c29","Classe 3","(SNdef,3)","ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL) -> ACTOR (H-PROFESSIONAL)","Le chirurgien, Le chirurgien, Le chirurgien"
"FR100168","c27","Classe 1","(SNind,1)-(SNdem,1)-(SNdef,3)","EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY -> EVENT/CLINENTITY","saignement, saignement, saignement, saignement, saignement"
"FR100168","c34","Classe 1","(SNposs,1)-(Poss,1)","ACTOR (H-PROFESSIONAL) -> ACTOR (PATIENT)","notre équipe, notre patient"
