doc,entité,type_temporalite,coref,mention_id,longueur_chaine,chaine_complete
FR100003,110/70 mmHg,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,12 mmol/l.,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,22 cycles/mn,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,350 mg/l,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,39°,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,85OOO,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,87 batt/min,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,96%,RML,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,abondantes,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,abordé,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,asthénique,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,asthénique,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,collections profondes,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,consulte,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,des espaces cervicaux antérolatéraux gauches,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,deux mois,TIMEX3,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,diabète non-insulinodépendant,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,drainer,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,drainé,EVENT,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,du médiastin,BODYPART,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,foyer infectieux,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,fébrile,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
FR100003,granulome de la racine dentaire,CLINENTITY,Non détecté,Non applicable,Non applicable,Non applicable
